EmployeeSkillKey,EmployeeKey,SkillKey,ProficiencyLevel,ProficiencyCategory,IsPrimarySkill,IsCertified,CertificationName,EffectiveDate,ExpirationDate
53,32,6,1,Foundational,0,0,,2021-11-20,
54,32,1,3,Advanced,0,0,,2021-09-10,
55,33,2,4,Advanced,1,1,Mock Data Certification,2023-05-06,2025-06-06
56,33,1,1,Foundational,0,0,,2023-10-20,
57,34,2,3,Advanced,1,0,,2022-09-16,
58,35,2,5,Expert,1,0,,2025-02-23,
59,35,1,2,Intermediate,0,0,,2025-06-16,
60,36,2,3,Advanced,1,0,,2022-03-04,
61,36,6,1,Foundational,0,0,,2022-08-08,
62,37,2,4,Advanced,1,0,,2021-12-03,
63,38,3,4,Advanced,1,1,Mock Systems Certification,2024-03-17,2026-12-17
64,38,4,2,Intermediate,0,0,,2024-08-29,
65,39,3,5,Expert,1,0,,2024-10-13,
66,39,5,2,Intermediate,0,0,,2025-03-26,
67,40,3,3,Advanced,1,0,,2021-10-01,
68,40,5,2,Intermediate,0,0,,2022-04-14,
69,41,3,5,Expert,1,1,Mock Systems Certification,2021-06-08,2023-06-08
70,42,3,4,Advanced,1,1,Mock Systems Certification,2022-11-07,2025-04-07
71,42,4,2,Intermediate,0,0,,2023-06-13,
72,43,3,4,Advanced,1,1,Mock Systems Certification,2024-01-16,2026-12-16
73,44,3,5,Expert,1,0,,2021-08-10,
74,44,4,1,Foundational,0,0,,2022-02-07,
75,44,5,2,Intermediate,0,0,,2022-01-07,
76,45,3,3,Advanced,1,0,,2023-01-12,
77,46,3,5,Expert,1,1,Mock Systems Certification,2021-11-04,2024-02-04
78,46,1,2,Intermediate,0,0,,2022-02-11,
79,47,3,4,Advanced,1,1,Mock Systems Certification,2022-02-17,2024-11-17
80,47,4,1,Foundational,0,0,,2022-08-06,
81,48,3,4,Advanced,1,1,Mock Systems Certification,2021-04-21,2024-02-21
82,49,3,4,Advanced,1,1,Mock Systems Certification,2023-12-18,2025-12-18
83,49,4,2,Intermediate,0,0,,2024-06-24,
84,50,3,5,Expert,1,1,Mock Systems Certification,2023-05-18,2025-09-18
85,50,1,2,Intermediate,0,0,,2023-09-03,
86,51,3,3,Advanced,1,0,,2024-05-06,
87,52,3,4,Advanced,1,1,Mock Systems Certification,2023-04-05,2025-12-05
88,52,5,1,Foundational,0,0,,2023-11-20,
89,52,4,2,Intermediate,0,0,,2023-09-21,
90,53,3,4,Advanced,1,1,Mock Systems Certification,2023-02-19,2025-02-19
91,54,3,4,Advanced,1,1,Mock Systems Certification,2023-01-09,2025-05-09
92,54,4,3,Advanced,0,0,,2023-08-27,
93,55,3,4,Advanced,1,0,,2024-06-16,
94,55,1,3,Advanced,0,0,,2024-10-29,
95,55,5,2,Intermediate,0,0,,2024-12-12,
96,56,4,4,Advanced,1,1,Mock Mechanical Certification,2022-03-15,2024-03-15
97,57,4,5,Expert,1,1,Mock Mechanical Certification,2024-04-11,2026-06-11
98,57,3,2,Intermediate,0,0,,2024-09-06,
99,58,4,5,Expert,1,1,Mock Mechanical Certification,2021-08-11,2024-06-11
100,58,3,2,Intermediate,0,0,,2021-11-18,
101,58,5,2,Intermediate,0,0,,2022-04-05,
102,59,4,4,Advanced,1,1,Mock Mechanical Certification,2023-09-04,2026-01-04
103,60,4,5,Expert,1,1,Mock Mechanical Certification,2023-08-04,2026-01-04
104,60,5,1,Foundational,0,0,,2024-02-10,
105,61,4,4,Advanced,1,0,,2021-08-20,
106,62,4,4,Advanced,1,0,,2024-01-25,
107,62,5,1,Foundational,0,0,,2024-08-28,
108,63,4,4,Advanced,1,1,Mock Mechanical Certification,2021-06-10,2024-04-10
109,63,5,2,Intermediate,0,0,,2021-10-28,
110,64,4,4,Advanced,1,1,Mock Mechanical Certification,2025-05-25,2027-08-25
111,64,3,2,Intermediate,0,0,,2025-06-30,
112,65,4,4,Advanced,1,1,Mock Mechanical Certification,2021-04-13,2024-04-13
113,66,4,5,Expert,1,0,,2024-02-18,
114,67,4,4,Advanced,1,1,Mock Mechanical Certification,2024-11-16,2027-11-16
115,67,5,3,Advanced,0,0,,2025-03-26,
116,68,4,4,Advanced,1,0,,2022-06-23,
117,68,5,2,Intermediate,0,0,,2022-10-01,
118,69,4,4,Advanced,1,0,,2024-08-02,
119,70,4,3,Advanced,1,0,,2024-01-08,
120,71,4,3,Advanced,1,0,,2024-04-09,
121,71,3,1,Foundational,0,0,,2024-08-07,
122,72,4,4,Advanced,1,1,Mock Mechanical Certification,2021-10-21,2024-07-21
123,72,5,2,Intermediate,0,0,,2022-04-09,
124,73,4,4,Advanced,1,0,,2024-06-25,
125,73,5,2,Intermediate,0,0,,2025-01-27,
126,73,3,1,Foundational,0,0,,2024-10-30,
127,74,4,4,Advanced,1,1,Mock Mechanical Certification,2021-06-18,2024-05-18
128,75,4,4,Advanced,1,1,Mock Mechanical Certification,2021-03-14,2023-11-14
129,75,5,2,Intermediate,0,0,,2021-07-12,
130,75,3,2,Intermediate,0,0,,2021-11-09,
131,76,4,3,Advanced,1,0,,2022-06-06,
132,76,5,1,Foundational,0,0,,2022-12-17,
133,76,3,1,Foundational,0,0,,2022-12-07,
134,77,4,3,Advanced,1,0,,2023-02-02,
135,78,5,5,Expert,1,1,Mock Quality Assurance Certification,2022-06-05,2024-06-05
136,79,5,4,Advanced,1,1,Mock Quality Assurance Certification,2023-05-05,2025-05-05
137,80,5,3,Advanced,1,0,,2021-05-16,
138,80,4,2,Intermediate,0,0,,2021-11-22,
139,81,5,3,Advanced,1,0,,2021-08-08,
140,82,5,4,Advanced,1,0,,2024-06-12,
141,82,4,3,Advanced,0,0,,2024-11-21,
142,83,5,4,Advanced,1,0,,2025-03-08,
143,83,3,1,Foundational,0,0,,2025-06-30,
144,84,5,4,Advanced,1,1,Mock Quality Assurance Certification,2022-12-15,2024-12-15
145,84,3,3,Advanced,0,0,,2023-03-29,
146,84,4,2,Intermediate,0,0,,2023-04-26,
147,85,5,4,Advanced,1,1,Mock Quality Assurance Certification,2022-04-04,2025-02-04
148,86,5,4,Advanced,1,1,Mock Quality Assurance Certification,2022-07-10,2025-02-10
149,87,5,5,Expert,1,1,Mock Quality Assurance Certification,2023-03-24,2026-02-24
150,87,4,3,Advanced,0,0,,2023-08-22,
151,87,3,3,Advanced,0,0,,2023-07-04,
152,88,5,4,Advanced,1,1,Mock Quality Assurance Certification,2023-12-16,2026-08-16
153,88,3,3,Advanced,0,0,,2024-03-18,
154,88,4,2,Intermediate,0,0,,2024-04-29,
155,89,5,5,Expert,1,1,Mock Quality Assurance Certification,2022-04-18,2024-04-18
156,89,3,1,Foundational,0,0,,2022-07-31,
157,90,5,3,Advanced,1,0,,2024-08-23,
158,90,3,1,Foundational,0,0,,2025-02-20,
159,90,4,3,Advanced,0,0,,2025-02-16,
160,91,5,4,Advanced,1,1,Mock Quality Assurance Certification,2023-03-05,2025-08-05
161,91,4,2,Intermediate,0,0,,2023-09-03,
162,92,5,5,Expert,1,1,Mock Quality Assurance Certification,2023-02-09,2025-08-09
163,93,5,3,Advanced,1,0,,2021-05-20,
164,93,3,3,Advanced,0,0,,2021-09-27,
165,94,6,5,Expert,1,0,,2021-03-10,
166,95,6,5,Expert,1,1,Mock Cloud & DevOps Certification,2023-07-05,2025-10-05
167,95,7,2,Intermediate,0,0,,2023-10-09,
168,95,1,2,Intermediate,0,0,,2023-11-14,
169,96,6,4,Advanced,1,0,,2023-12-17,
170,97,6,4,Advanced,1,0,,2023-05-17,
171,97,1,2,Intermediate,0,0,,2023-12-26,
172,97,7,2,Intermediate,0,0,,2023-10-31,
173,98,6,4,Advanced,1,1,Mock Cloud & DevOps Certification,2021-12-08,2023-12-08
174,98,2,2,Intermediate,0,0,,2022-05-19,
175,99,6,4,Advanced,1,1,Mock Cloud & DevOps Certification,2021-08-19,2023-08-19
176,99,7,3,Advanced,0,0,,2022-04-02,
177,100,6,4,Advanced,1,1,Mock Cloud & DevOps Certification,2021-03-08,2023-10-08
178,100,7,3,Advanced,0,0,,2021-09-08,
179,101,6,5,Expert,1,1,Mock Cloud & DevOps Certification,2023-11-22,2026-06-22
180,101,7,2,Intermediate,0,0,,2024-04-21,
181,102,6,3,Advanced,1,0,,2025-03-20,
182,102,2,2,Intermediate,0,0,,2025-06-30,
183,103,6,4,Advanced,1,0,,2023-02-14,
184,103,2,2,Intermediate,0,0,,2023-08-18,
185,104,6,4,Advanced,1,1,Mock Cloud & DevOps Certification,2023-09-10,2026-08-10
186,104,1,1,Foundational,0,0,,2023-12-30,
187,104,2,1,Foundational,0,0,,2024-03-03,
188,105,6,3,Advanced,1,0,,2022-07-22,
189,106,7,5,Expert,1,1,Mock Cybersecurity Certification,2021-04-05,2023-05-05
190,106,6,1,Foundational,0,0,,2021-09-22,
191,106,1,2,Intermediate,0,0,,2021-08-27,
192,107,7,5,Expert,1,0,,2024-06-01,
193,108,7,4,Advanced,1,1,Mock Cybersecurity Certification,2024-02-18,2026-07-18
194,109,7,5,Expert,1,1,Mock Cybersecurity Certification,2022-11-20,2025-03-20
195,109,1,2,Intermediate,0,0,,2023-06-03,
196,110,7,5,Expert,1,1,Mock Cybersecurity Certification,2023-11-21,2026-08-21
197,111,7,5,Expert,1,1,Mock Cybersecurity Certification,2023-05-04,2026-03-04
198,111,6,2,Intermediate,0,0,,2023-12-02,
199,112,7,4,Advanced,1,1,Mock Cybersecurity Certification,2025-06-25,2028-04-25
200,112,1,2,Intermediate,0,0,,2025-06-30,
201,113,7,5,Expert,1,1,Mock Cybersecurity Certification,2024-08-01,2026-12-01
202,113,6,3,Advanced,0,0,,2025-01-10,
203,113,1,2,Intermediate,0,0,,2024-12-28,
204,114,8,4,Advanced,1,0,,2024-10-20,
205,115,8,5,Expert,1,1,Mock RDE PMO Certification,2025-02-03,2027-09-03
206,115,3,1,Foundational,0,0,,2025-06-30,
207,115,5,2,Intermediate,0,0,,2025-06-30,
208,116,8,4,Advanced,1,0,,2022-03-19,
209,116,3,2,Intermediate,0,0,,2022-07-08,
210,117,8,5,Expert,1,1,Mock RDE PMO Certification,2021-12-25,2024-05-25
211,117,5,2,Intermediate,0,0,,2022-04-08,
212,118,8,3,Advanced,1,0,,2023-08-02,
213,118,3,1,Foundational,0,0,,2024-03-14,
214,119,8,5,Expert,1,1,Mock RDE PMO Certification,2023-12-24,2026-06-24
215,119,3,2,Intermediate,0,0,,2024-04-22,
216,120,8,5,Expert,1,1,Mock RDE PMO Certification,2022-12-18,2025-10-18
