WorkforcePlanRecordID,MonthStartDateKey,TeamKey,SkillKey,Location,RequiredFTE,ActualFTE,OpenDemandFTE,ContractorFTE,CapacityGapFTE,AvailableCapacityHours,RequiredCapacityHours
WFP-000073,20240301,3,3,"Atlanta, GA",2.15,2.0,0.15,0.0,-0.15,320.0,344.0
WFP-000074,20240301,3,3,"Phoenix, AZ",4.82,4.48,0.34,1.0,-0.34,716.8,771.2
WFP-000075,20240301,3,3,"Charlotte, NC",11.2,8.0,3.2,1.0,-3.2,1280.0,1792.0
WFP-000076,20240301,3,3,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000077,20240301,4,4,"Atlanta, GA",2.1,1.9,0.2,0.0,-0.2,304.0,336.0
WFP-000078,20240301,4,4,"Phoenix, AZ",12.98,8.0,4.98,1.0,-4.98,1280.0,2076.8
WFP-000079,20240301,4,4,"Charlotte, NC",5.51,5.0,0.51,1.0,-0.51,800.0,881.6
WFP-000080,20240301,4,4,"Remote, US",1.1,1.0,0.1,0.0,-0.1,160.0,176.0
WFP-000081,20240301,5,5,"Atlanta, GA",4.29,4.0,0.29,2.0,-0.29,640.0,686.4
WFP-000082,20240301,5,5,"Phoenix, AZ",3.21,3.0,0.21,0.0,-0.21,480.0,513.6
WFP-000083,20240301,5,5,"Charlotte, NC",7.46,5.0,2.46,0.0,-2.46,800.0,1193.6
WFP-000084,20240301,5,5,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000085,20240301,6,6,"Atlanta, GA",3.02,3.0,0.02,0.0,-0.02,480.0,483.2
WFP-000086,20240301,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000087,20240301,6,6,"Charlotte, NC",2.01,2.0,0.01,0.0,-0.01,320.0,321.6
WFP-000088,20240301,6,6,"Remote, US",6.94,5.9,1.04,2.0,-1.04,944.0,1110.4
WFP-000089,20240301,7,7,"Atlanta, GA",1.15,1.0,0.15,0.0,-0.15,160.0,184.0
WFP-000090,20240301,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000091,20240301,7,7,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000092,20240301,7,7,"Remote, US",6.94,4.0,2.94,1.0,-2.94,640.0,1110.4
WFP-000093,20240301,8,8,"Atlanta, GA",4.67,3.0,1.67,1.0,-1.67,480.0,747.2
WFP-000094,20240301,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000095,20240301,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000096,20240301,8,8,"Remote, US",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000097,20240401,1,1,"Atlanta, GA",4.62,4.0,0.62,2.0,-0.62,640.0,739.2
WFP-000098,20240401,1,1,"Phoenix, AZ",3.23,2.8,0.43,0.0,-0.43,448.0,516.8
WFP-000099,20240401,1,1,"Charlotte, NC",11.98,4.0,7.98,0.0,-7.98,640.0,1916.8
WFP-000100,20240401,1,1,"Remote, US",5.77,5.0,0.77,1.0,-0.77,800.0,923.2
WFP-000101,20240401,2,2,"Atlanta, GA",1.68,1.5,0.18,0.0,-0.18,240.0,268.8
WFP-000102,20240401,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000103,20240401,2,2,"Charlotte, NC",2.23,2.0,0.23,1.0,-0.23,320.0,356.8
WFP-000104,20240401,2,2,"Remote, US",8.19,5.0,3.19,0.0,-3.19,800.0,1310.4
WFP-000105,20240401,3,3,"Atlanta, GA",2.14,2.0,0.14,0.0,-0.14,320.0,342.4
WFP-000106,20240401,3,3,"Phoenix, AZ",5.34,5.0,0.34,1.0,-0.34,800.0,854.4
WFP-000107,20240401,3,3,"Charlotte, NC",10.86,8.0,2.86,1.0,-2.86,1280.0,1737.6
WFP-000108,20240401,3,3,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000109,20240401,4,4,"Atlanta, GA",2.15,2.0,0.15,0.0,-0.15,320.0,344.0
WFP-000110,20240401,4,4,"Phoenix, AZ",13.05,9.4,3.65,1.0,-3.65,1504.0,2088.0
WFP-000111,20240401,4,4,"Charlotte, NC",5.37,5.0,0.37,1.0,-0.37,800.0,859.2
WFP-000112,20240401,4,4,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000113,20240401,5,5,"Atlanta, GA",4.28,4.0,0.28,2.0,-0.28,640.0,684.8
WFP-000114,20240401,5,5,"Phoenix, AZ",3.21,3.0,0.21,0.0,-0.21,480.0,513.6
WFP-000115,20240401,5,5,"Charlotte, NC",7.45,5.0,2.45,0.0,-2.45,800.0,1192.0
WFP-000116,20240401,5,5,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000117,20240401,6,6,"Atlanta, GA",3.03,3.0,0.03,0.0,-0.03,480.0,484.8
WFP-000118,20240401,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000119,20240401,6,6,"Charlotte, NC",2.02,2.0,0.02,0.0,-0.02,320.0,323.2
WFP-000120,20240401,6,6,"Remote, US",7.07,6.0,1.07,2.0,-1.07,960.0,1131.2
WFP-000121,20240401,7,7,"Atlanta, GA",1.16,1.0,0.16,0.0,-0.16,160.0,185.6
WFP-000122,20240401,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000123,20240401,7,7,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000124,20240401,7,7,"Remote, US",6.98,4.0,2.98,1.0,-2.98,640.0,1116.8
WFP-000125,20240401,8,8,"Atlanta, GA",4.65,3.0,1.65,1.0,-1.65,480.0,744.0
WFP-000126,20240401,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000127,20240401,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000128,20240401,8,8,"Remote, US",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000129,20240501,1,1,"Atlanta, GA",4.62,4.0,0.62,2.0,-0.62,640.0,739.2
WFP-000130,20240501,1,1,"Phoenix, AZ",3.23,2.8,0.43,0.0,-0.43,448.0,516.8
WFP-000131,20240501,1,1,"Charlotte, NC",12.0,4.0,8.0,0.0,-8.0,640.0,1920.0
WFP-000132,20240501,1,1,"Remote, US",5.78,5.0,0.78,1.0,-0.78,800.0,924.8
WFP-000133,20240501,2,2,"Atlanta, GA",2.21,2.0,0.21,0.0,-0.21,320.0,353.6
WFP-000134,20240501,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000135,20240501,2,2,"Charlotte, NC",1.99,1.8,0.19,1.0,-0.19,288.0,318.4
WFP-000136,20240501,2,2,"Remote, US",7.9,5.0,2.9,0.0,-2.9,800.0,1264.0
WFP-000137,20240501,3,3,"Atlanta, GA",2.11,2.0,0.11,0.0,-0.11,320.0,337.6
WFP-000138,20240501,3,3,"Phoenix, AZ",5.28,5.0,0.28,1.0,-0.28,800.0,844.8
WFP-000139,20240501,3,3,"Charlotte, NC",10.93,8.54,2.39,1.0,-2.39,1366.4,1748.8
WFP-000140,20240501,3,3,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000141,20240501,4,4,"Atlanta, GA",2.13,2.0,0.13,0.0,-0.13,320.0,340.8
WFP-000142,20240501,4,4,"Phoenix, AZ",13.2,10.0,3.2,1.0,-3.2,1600.0,2112.0
WFP-000143,20240501,4,4,"Charlotte, NC",5.32,5.0,0.32,1.0,-0.32,800.0,851.2
WFP-000144,20240501,4,4,"Remote, US",1.06,1.0,0.06,0.0,-0.06,160.0,169.6
WFP-000145,20240501,5,5,"Atlanta, GA",4.3,4.0,0.3,2.0,-0.3,640.0,688.0
WFP-000146,20240501,5,5,"Phoenix, AZ",3.23,3.0,0.23,0.0,-0.23,480.0,516.8
WFP-000147,20240501,5,5,"Charlotte, NC",7.33,4.7,2.63,0.0,-2.63,752.0,1172.8
WFP-000148,20240501,5,5,"Remote, US",1.08,1.0,0.08,0.0,-0.08,160.0,172.8
WFP-000149,20240501,6,6,"Atlanta, GA",3.16,3.0,0.16,0.0,-0.16,480.0,505.6
WFP-000150,20240501,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000151,20240501,6,6,"Charlotte, NC",2.1,2.0,0.1,0.0,-0.1,320.0,336.0
WFP-000152,20240501,6,6,"Remote, US",6.99,5.5,1.49,2.0,-1.49,880.0,1118.4
WFP-000153,20240501,7,7,"Atlanta, GA",1.16,1.0,0.16,0.0,-0.16,160.0,185.6
WFP-000154,20240501,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000155,20240501,7,7,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000156,20240501,7,7,"Remote, US",6.96,4.0,2.96,1.0,-2.96,640.0,1113.6
WFP-000157,20240501,8,8,"Atlanta, GA",4.62,3.0,1.62,1.0,-1.62,480.0,739.2
WFP-000158,20240501,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000159,20240501,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000160,20240501,8,8,"Remote, US",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000161,20240601,1,1,"Atlanta, GA",4.58,4.0,0.58,2.0,-0.58,640.0,732.8
WFP-000162,20240601,1,1,"Phoenix, AZ",3.43,3.0,0.43,0.0,-0.43,480.0,548.8
WFP-000163,20240601,1,1,"Charlotte, NC",12.07,4.47,7.6,0.47,-7.6,715.2,1931.2
WFP-000164,20240601,1,1,"Remote, US",5.73,5.0,0.73,1.0,-0.73,800.0,916.8
WFP-000165,20240601,2,2,"Atlanta, GA",2.21,2.0,0.21,0.0,-0.21,320.0,353.6
WFP-000166,20240601,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000167,20240601,2,2,"Charlotte, NC",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000168,20240601,2,2,"Remote, US",7.82,4.9,2.92,0.0,-2.92,784.0,1251.2
WFP-000169,20240601,3,3,"Atlanta, GA",2.08,2.0,0.08,0.0,-0.08,320.0,332.8
WFP-000170,20240601,3,3,"Phoenix, AZ",5.19,5.0,0.19,1.0,-0.19,800.0,830.4
WFP-000171,20240601,3,3,"Charlotte, NC",10.42,8.8,1.62,1.0,-1.62,1408.0,1667.2
WFP-000172,20240601,3,3,"Remote, US",0.52,0.5,0.02,0.0,-0.02,80.0,83.2
WFP-000173,20240601,4,4,"Atlanta, GA",1.92,1.8,0.12,0.0,-0.12,288.0,307.2
WFP-000174,20240601,4,4,"Phoenix, AZ",13.29,9.9,3.39,1.0,-3.39,1584.0,2126.4
WFP-000175,20240601,4,4,"Charlotte, NC",5.34,5.0,0.34,1.0,-0.34,800.0,854.4
WFP-000176,20240601,4,4,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000177,20240601,5,5,"Atlanta, GA",3.75,3.5,0.25,2.0,-0.25,560.0,600.0
WFP-000178,20240601,5,5,"Phoenix, AZ",3.22,3.0,0.22,0.0,-0.22,480.0,515.2
WFP-000179,20240601,5,5,"Charlotte, NC",7.85,5.33,2.52,0.63,-2.52,852.8,1256.0
WFP-000180,20240601,5,5,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000181,20240601,6,6,"Atlanta, GA",3.09,3.0,0.09,0.0,-0.09,480.0,494.4
WFP-000182,20240601,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000183,20240601,6,6,"Charlotte, NC",2.06,2.0,0.06,0.0,-0.06,320.0,329.6
WFP-000184,20240601,6,6,"Remote, US",7.22,6.0,1.22,2.0,-1.22,960.0,1155.2
WFP-000185,20240601,7,7,"Atlanta, GA",1.1,1.0,0.1,0.0,-0.1,160.0,176.0
WFP-000186,20240601,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000187,20240601,7,7,"Charlotte, NC",1.1,1.0,0.1,1.0,-0.1,160.0,176.0
WFP-000188,20240601,7,7,"Remote, US",5.99,4.0,1.99,1.0,-1.99,640.0,958.4
WFP-000189,20240601,8,8,"Atlanta, GA",4.58,3.0,1.58,1.0,-1.58,480.0,732.8
WFP-000190,20240601,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000191,20240601,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000192,20240601,8,8,"Remote, US",2.2,2.0,0.2,1.0,-0.2,320.0,352.0
WFP-000193,20240701,1,1,"Atlanta, GA",5.48,4.87,0.61,2.0,-0.61,779.2,876.8
WFP-000194,20240701,1,1,"Phoenix, AZ",3.37,3.0,0.37,0.0,-0.37,480.0,539.2
WFP-000195,20240701,1,1,"Charlotte, NC",11.52,5.0,6.52,1.0,-6.52,800.0,1843.2
WFP-000196,20240701,1,1,"Remote, US",5.28,4.7,0.58,1.0,-0.58,752.0,844.8
WFP-000197,20240701,2,2,"Atlanta, GA",2.0,1.8,0.2,0.0,-0.2,288.0,320.0
WFP-000198,20240701,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000199,20240701,2,2,"Charlotte, NC",2.22,2.0,0.22,1.0,-0.22,320.0,355.2
WFP-000200,20240701,2,2,"Remote, US",8.07,5.0,3.07,0.0,-3.07,800.0,1291.2
WFP-000201,20240701,3,3,"Atlanta, GA",2.03,2.0,0.03,0.0,-0.03,320.0,324.8
WFP-000202,20240701,3,3,"Phoenix, AZ",5.07,5.0,0.07,1.0,-0.07,800.0,811.2
WFP-000203,20240701,3,3,"Charlotte, NC",10.14,9.0,1.14,1.0,-1.14,1440.0,1622.4
WFP-000204,20240701,3,3,"Remote, US",1.01,1.0,0.01,0.0,-0.01,160.0,161.6
WFP-000205,20240701,4,4,"Atlanta, GA",2.08,2.0,0.08,0.0,-0.08,320.0,332.8
WFP-000206,20240701,4,4,"Phoenix, AZ",13.12,11.0,2.12,1.0,-2.12,1760.0,2099.2
WFP-000207,20240701,4,4,"Charlotte, NC",5.21,5.0,0.21,1.0,-0.21,800.0,833.6
WFP-000208,20240701,4,4,"Remote, US",1.04,1.0,0.04,0.0,-0.04,160.0,166.4
WFP-000209,20240701,5,5,"Atlanta, GA",4.16,4.0,0.16,2.0,-0.16,640.0,665.6
WFP-000210,20240701,5,5,"Phoenix, AZ",3.12,3.0,0.12,0.0,-0.12,480.0,499.2
WFP-000211,20240701,5,5,"Charlotte, NC",7.39,6.0,1.39,1.0,-1.39,960.0,1182.4
WFP-000212,20240701,5,5,"Remote, US",1.04,1.0,0.04,0.0,-0.04,160.0,166.4
WFP-000213,20240701,6,6,"Atlanta, GA",3.08,3.0,0.08,0.0,-0.08,480.0,492.8
WFP-000214,20240701,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000215,20240701,6,6,"Charlotte, NC",2.05,2.0,0.05,0.0,-0.05,320.0,328.0
WFP-000216,20240701,6,6,"Remote, US",7.17,6.0,1.17,2.0,-1.17,960.0,1147.2
WFP-000217,20240701,7,7,"Atlanta, GA",1.1,1.0,0.1,0.0,-0.1,160.0,176.0
WFP-000218,20240701,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000219,20240701,7,7,"Charlotte, NC",1.1,1.0,0.1,1.0,-0.1,160.0,176.0
WFP-000220,20240701,7,7,"Remote, US",5.89,4.0,1.89,1.0,-1.89,640.0,942.4
WFP-000221,20240701,8,8,"Atlanta, GA",4.68,3.0,1.68,1.0,-1.68,480.0,748.8
WFP-000222,20240701,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000223,20240701,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000224,20240701,8,8,"Remote, US",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000225,20240801,1,1,"Atlanta, GA",5.61,5.0,0.61,2.0,-0.61,800.0,897.6
WFP-000226,20240801,1,1,"Phoenix, AZ",3.37,3.0,0.37,0.0,-0.37,480.0,539.2
WFP-000227,20240801,1,1,"Charlotte, NC",11.1,4.7,6.4,1.0,-6.4,752.0,1776.0
WFP-000228,20240801,1,1,"Remote, US",5.61,5.0,0.61,1.0,-0.61,800.0,897.6
WFP-000229,20240801,2,2,"Atlanta, GA",2.21,2.0,0.21,0.0,-0.21,320.0,353.6
WFP-000230,20240801,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000231,20240801,2,2,"Charlotte, NC",2.21,2.0,0.21,1.0,-0.21,320.0,353.6
WFP-000232,20240801,2,2,"Remote, US",7.98,5.0,2.98,0.0,-2.98,800.0,1276.8
WFP-000233,20240801,3,3,"Atlanta, GA",2.01,2.0,0.01,0.0,-0.01,320.0,321.6
WFP-000234,20240801,3,3,"Phoenix, AZ",5.04,5.0,0.04,1.0,-0.04,800.0,806.4
WFP-000235,20240801,3,3,"Charlotte, NC",10.08,9.0,1.08,1.0,-1.08,1440.0,1612.8
WFP-000236,20240801,3,3,"Remote, US",1.01,1.0,0.01,0.0,-0.01,160.0,161.6
WFP-000237,20240801,4,4,"Atlanta, GA",2.06,2.0,0.06,0.0,-0.06,320.0,329.6
WFP-000238,20240801,4,4,"Phoenix, AZ",12.48,11.0,1.48,1.0,-1.48,1760.0,1996.8
WFP-000239,20240801,4,4,"Charlotte, NC",6.14,5.97,0.17,1.0,-0.17,955.2,982.4
WFP-000240,20240801,4,4,"Remote, US",1.03,1.0,0.03,0.0,-0.03,160.0,164.8
WFP-000241,20240801,5,5,"Atlanta, GA",3.9,3.7,0.2,2.0,-0.2,592.0,624.0
WFP-000242,20240801,5,5,"Phoenix, AZ",2.65,2.52,0.13,0.0,-0.13,403.2,424.0
WFP-000243,20240801,5,5,"Charlotte, NC",8.16,6.29,1.87,1.0,-1.87,1006.4,1305.6
WFP-000244,20240801,5,5,"Remote, US",1.05,1.0,0.05,0.0,-0.05,160.0,168.0
WFP-000245,20240801,6,6,"Atlanta, GA",3.14,3.0,0.14,0.0,-0.14,480.0,502.4
WFP-000246,20240801,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000247,20240801,6,6,"Charlotte, NC",1.99,1.9,0.09,0.0,-0.09,304.0,318.4
WFP-000248,20240801,6,6,"Remote, US",7.4,6.0,1.4,2.0,-1.4,960.0,1184.0
WFP-000249,20240801,7,7,"Atlanta, GA",1.01,1.0,0.01,0.0,-0.01,160.0,161.6
WFP-000250,20240801,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000251,20240801,7,7,"Charlotte, NC",1.01,1.0,0.01,1.0,-0.01,160.0,161.6
WFP-000252,20240801,7,7,"Remote, US",6.04,5.0,1.04,1.0,-1.04,800.0,966.4
WFP-000253,20240801,8,8,"Atlanta, GA",4.72,3.0,1.72,1.0,-1.72,480.0,755.2
WFP-000254,20240801,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000255,20240801,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000256,20240801,8,8,"Remote, US",2.22,2.0,0.22,1.0,-0.22,320.0,355.2
WFP-000257,20240901,1,1,"Atlanta, GA",5.6,5.0,0.6,2.0,-0.6,800.0,896.0
