FinancialRecordID,MonthStartDateKey,FiscalMonth,ProjectKey,CostCategory,PeriodType,BudgetAmount,ActualLaborCost,ActualMaterialCost,ActualOtherCost,ActualCostAmount,CommittedCost,ForecastToComplete,EAC,PlannedLaborHours,ActualLaborHours
FIN-000099,20241001,2024-10,2,Material,Actual,76246.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000100,20241001,2024-10,2,Other,Actual,30631.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000101,20241101,2024-11,2,Labor,Actual,88445.57,55912.11,0.0,0.0,55912.11,0.0,0.0,55912.11,999.88,574.75
FIN-000102,20241101,2024-11,2,Contractor,Actual,28777.62,18523.08,0.0,0.0,18523.08,0.0,0.0,18523.08,215.52,155.75
FIN-000103,20241101,2024-11,2,Material,Actual,76471.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000104,20241101,2024-11,2,Other,Actual,33868.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000105,20241201,2024-12,2,Labor,Actual,91571.15,85662.78,0.0,0.0,85662.78,0.0,0.0,85662.78,1035.21,916.25
FIN-000106,20241201,2024-12,2,Contractor,Actual,30991.14,18441.93,0.0,0.0,18441.93,0.0,0.0,18441.93,232.1,148.25
FIN-000107,20241201,2024-12,2,Material,Actual,77096.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000108,20241201,2024-12,2,Other,Actual,33451.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000109,20250101,2025-01,2,Labor,Actual,93253.74,49986.62,0.0,0.0,49986.62,0.0,0.0,49986.62,1054.23,545.0
FIN-000110,20250101,2025-01,2,Contractor,Actual,34354.31,27580.25,0.0,0.0,27580.25,0.0,0.0,27580.25,257.29,207.25
FIN-000111,20250101,2025-01,2,Material,Actual,79248.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000112,20250101,2025-01,2,Other,Actual,36505.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000113,20250201,2025-02,2,Labor,Actual,102529.95,67128.47,0.0,0.0,67128.47,0.0,0.0,67128.47,1159.1,718.5
FIN-000114,20250201,2025-02,2,Contractor,Actual,36327.97,5830.5,0.0,0.0,5830.5,0.0,0.0,5830.5,272.07,57.0
FIN-000115,20250201,2025-02,2,Material,Actual,84127.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000116,20250201,2025-02,2,Other,Actual,37219.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000117,20250301,2025-03,2,Labor,Actual,106117.43,18851.64,0.0,0.0,18851.64,0.0,0.0,18851.64,1199.66,200.75
FIN-000118,20250301,2025-03,2,Contractor,Actual,39679.4,5680.74,0.0,0.0,5680.74,0.0,0.0,5680.74,297.17,36.25
FIN-000119,20250301,2025-03,2,Material,Actual,82115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000120,20250301,2025-03,2,Other,Actual,39759.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000121,20240201,2024-02,3,Labor,Actual,66162.63,301498.51,0.0,0.0,301498.51,0.0,0.0,301498.51,732.35,3235.75
FIN-000122,20240201,2024-02,3,Contractor,Actual,16761.59,100897.95,0.0,0.0,100897.95,0.0,0.0,100897.95,138.55,798.5
FIN-000123,20240201,2024-02,3,Material,Actual,41923.96,0.0,31156.57,0.0,31156.57,0.0,0.0,31156.57,0.0,0.0
FIN-000124,20240201,2024-02,3,Other,Actual,19932.07,0.0,0.0,16891.33,16891.33,0.0,0.0,16891.33,0.0,0.0
FIN-000125,20240301,2024-03,3,Labor,Actual,81786.94,216764.37,0.0,0.0,216764.37,0.0,0.0,216764.37,905.29,2322.5
FIN-000126,20240301,2024-03,3,Contractor,Actual,21570.78,79166.8,0.0,0.0,79166.8,0.0,0.0,79166.8,178.31,601.75
FIN-000127,20240301,2024-03,3,Material,Actual,49169.52,0.0,42139.03,0.0,42139.03,0.0,0.0,42139.03,0.0,0.0
FIN-000128,20240301,2024-03,3,Other,Actual,23934.18,0.0,0.0,17169.12,17169.12,0.0,0.0,17169.12,0.0,0.0
FIN-000129,20240401,2024-04,3,Labor,Actual,90160.2,289253.24,0.0,0.0,289253.24,0.0,0.0,289253.24,997.97,3054.5
FIN-000130,20240401,2024-04,3,Contractor,Actual,23097.43,57922.52,0.0,0.0,57922.52,0.0,0.0,57922.52,190.93,415.75
FIN-000131,20240401,2024-04,3,Material,Actual,57555.65,0.0,38301.42,0.0,38301.42,0.0,0.0,38301.42,0.0,0.0
FIN-000132,20240401,2024-04,3,Other,Actual,29800.9,0.0,0.0,21753.25,21753.25,0.0,0.0,21753.25,0.0,0.0
FIN-000133,20240501,2024-05,3,Labor,Actual,108179.78,117418.89,0.0,0.0,117418.89,0.0,0.0,117418.89,1197.43,1263.75
FIN-000134,20240501,2024-05,3,Contractor,Actual,27435.73,21772.99,0.0,0.0,21772.99,0.0,0.0,21772.99,226.79,179.25
FIN-000135,20240501,2024-05,3,Material,Actual,64174.56,0.0,55303.68,0.0,55303.68,0.0,0.0,55303.68,0.0,0.0
FIN-000136,20240501,2024-05,3,Other,Actual,32930.0,0.0,0.0,22563.55,22563.55,0.0,0.0,22563.55,0.0,0.0
FIN-000137,20240601,2024-06,3,Labor,Actual,106536.02,113427.71,0.0,0.0,113427.71,0.0,0.0,113427.71,1179.23,1205.25
FIN-000138,20240601,2024-06,3,Contractor,Actual,31615.46,33679.15,0.0,0.0,33679.15,0.0,0.0,33679.15,261.34,263.0
FIN-000139,20240601,2024-06,3,Material,Actual,69385.55,0.0,51733.79,0.0,51733.79,0.0,0.0,51733.79,0.0,0.0
FIN-000140,20240601,2024-06,3,Other,Actual,36086.79,0.0,0.0,25734.88,25734.88,0.0,0.0,25734.88,0.0,0.0
FIN-000141,20240701,2024-07,3,Labor,Actual,115414.07,91099.37,0.0,0.0,91099.37,0.0,0.0,91099.37,1277.5,1022.0
FIN-000142,20240701,2024-07,3,Contractor,Actual,34225.22,38333.19,0.0,0.0,38333.19,0.0,0.0,38333.19,282.91,283.75
FIN-000143,20240701,2024-07,3,Material,Actual,70580.35,0.0,52744.39,0.0,52744.39,0.0,0.0,52744.39,0.0,0.0
FIN-000144,20240701,2024-07,3,Other,Actual,38747.75,0.0,0.0,30899.29,30899.29,0.0,0.0,30899.29,0.0,0.0
FIN-000145,20240801,2024-08,3,Labor,Actual,135870.04,76955.88,0.0,0.0,76955.88,0.0,0.0,76955.88,1503.93,818.5
FIN-000146,20240801,2024-08,3,Contractor,Actual,38918.83,19956.09,0.0,0.0,19956.09,0.0,0.0,19956.09,321.71,139.75
FIN-000147,20240801,2024-08,3,Material,Actual,75119.39,0.0,49115.17,0.0,49115.17,0.0,0.0,49115.17,0.0,0.0
FIN-000148,20240801,2024-08,3,Other,Actual,39311.79,0.0,0.0,32608.91,32608.91,0.0,0.0,32608.91,0.0,0.0
FIN-000149,20240901,2024-09,3,Labor,Actual,132619.11,60900.37,0.0,0.0,60900.37,0.0,0.0,60900.37,1467.94,689.75
FIN-000150,20240901,2024-09,3,Contractor,Actual,36916.27,46538.53,0.0,0.0,46538.53,0.0,0.0,46538.53,305.16,363.75
FIN-000151,20240901,2024-09,3,Material,Actual,73852.44,0.0,65304.27,0.0,65304.27,0.0,0.0,65304.27,0.0,0.0
FIN-000152,20240901,2024-09,3,Other,Actual,41120.72,0.0,0.0,29844.16,29844.16,0.0,0.0,29844.16,0.0,0.0
FIN-000153,20241001,2024-10,3,Labor,Actual,133700.28,81910.95,0.0,0.0,81910.95,0.0,0.0,81910.95,1479.91,875.75
FIN-000154,20241001,2024-10,3,Contractor,Actual,40122.96,22990.81,0.0,0.0,22990.81,0.0,0.0,22990.81,331.66,156.5
FIN-000155,20241001,2024-10,3,Material,Actual,76719.42,0.0,68156.57,0.0,68156.57,0.0,0.0,68156.57,0.0,0.0
FIN-000156,20241001,2024-10,3,Other,Actual,40325.92,0.0,0.0,28777.95,28777.95,0.0,0.0,28777.95,0.0,0.0
FIN-000157,20241101,2024-11,3,Labor,Actual,138394.03,67021.49,0.0,0.0,67021.49,0.0,0.0,67021.49,1531.86,711.25
FIN-000158,20241101,2024-11,3,Contractor,Actual,39860.39,18310.89,0.0,0.0,18310.89,0.0,0.0,18310.89,329.49,148.5
FIN-000159,20241101,2024-11,3,Material,Actual,71943.94,0.0,56098.59,0.0,56098.59,0.0,0.0,56098.59,0.0,0.0
FIN-000160,20241101,2024-11,3,Other,Actual,38999.55,0.0,0.0,31482.53,31482.53,0.0,0.0,31482.53,0.0,0.0
FIN-000161,20241201,2024-12,3,Labor,Actual,135421.95,52677.72,0.0,0.0,52677.72,0.0,0.0,52677.72,1498.97,550.0
FIN-000162,20241201,2024-12,3,Contractor,Actual,41421.89,15474.74,0.0,0.0,15474.74,0.0,0.0,15474.74,342.4,105.5
FIN-000163,20241201,2024-12,3,Material,Actual,69115.41,0.0,49927.93,0.0,49927.93,0.0,0.0,49927.93,0.0,0.0
FIN-000164,20241201,2024-12,3,Other,Actual,37842.91,0.0,0.0,31782.29,31782.29,0.0,0.0,31782.29,0.0,0.0
FIN-000165,20250101,2025-01,3,Labor,Actual,121568.46,48909.52,0.0,0.0,48909.52,0.0,0.0,48909.52,1345.62,506.25
FIN-000166,20250101,2025-01,3,Contractor,Actual,38047.07,11673.61,0.0,0.0,11673.61,0.0,0.0,11673.61,314.5,97.5
FIN-000167,20250101,2025-01,3,Material,Actual,69532.12,0.0,44194.79,0.0,44194.79,0.0,0.0,44194.79,0.0,0.0
FIN-000168,20250101,2025-01,3,Other,Actual,35140.44,0.0,0.0,26075.78,26075.78,0.0,0.0,26075.78,0.0,0.0
FIN-000169,20250201,2025-02,3,Labor,Actual,118013.38,51698.92,0.0,0.0,51698.92,0.0,0.0,51698.92,1306.27,534.0
FIN-000170,20250201,2025-02,3,Contractor,Actual,40614.96,23602.74,0.0,0.0,23602.74,0.0,0.0,23602.74,335.73,176.0
FIN-000171,20250201,2025-02,3,Material,Actual,58811.75,0.0,37350.07,0.0,37350.07,0.0,0.0,37350.07,0.0,0.0
FIN-000172,20250201,2025-02,3,Other,Actual,34012.16,0.0,0.0,23483.93,23483.93,0.0,0.0,23483.93,0.0,0.0
FIN-000173,20250301,2025-03,3,Labor,Actual,107623.35,66979.36,0.0,0.0,66979.36,0.0,0.0,66979.36,1191.27,725.0
FIN-000174,20250301,2025-03,3,Contractor,Actual,36846.82,6095.78,0.0,0.0,6095.78,0.0,0.0,6095.78,304.58,35.25
FIN-000175,20250301,2025-03,3,Material,Actual,53021.06,0.0,42263.74,0.0,42263.74,0.0,0.0,42263.74,0.0,0.0
FIN-000176,20250301,2025-03,3,Other,Actual,31418.37,0.0,0.0,26289.95,26289.95,0.0,0.0,26289.95,0.0,0.0
FIN-000177,20250401,2025-04,3,Labor,Actual,102915.15,49516.95,0.0,0.0,49516.95,0.0,0.0,49516.95,1139.15,556.25
FIN-000178,20250401,2025-04,3,Contractor,Actual,35471.11,6528.11,0.0,0.0,6528.11,0.0,0.0,6528.11,293.21,37.75
FIN-000179,20250401,2025-04,3,Material,Actual,49976.65,0.0,34570.34,0.0,34570.34,0.0,0.0,34570.34,0.0,0.0
FIN-000180,20250401,2025-04,3,Other,Actual,25706.53,0.0,0.0,22333.03,22333.03,0.0,0.0,22333.03,0.0,0.0
FIN-000181,20250501,2025-05,3,Labor,Actual,86261.19,79230.51,0.0,0.0,79230.51,0.0,0.0,79230.51,954.81,828.75
FIN-000182,20250501,2025-05,3,Contractor,Actual,30007.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.05,0.0
FIN-000183,20250501,2025-05,3,Material,Actual,43815.18,0.0,35350.81,0.0,35350.81,0.0,0.0,35350.81,0.0,0.0
FIN-000184,20250501,2025-05,3,Other,Actual,25012.94,0.0,0.0,16170.14,16170.14,0.0,0.0,16170.14,0.0,0.0
FIN-000185,20250601,2025-06,3,Labor,Actual,78401.14,87478.75,0.0,0.0,87478.75,0.0,0.0,87478.75,867.81,923.75
FIN-000186,20250601,2025-06,3,Contractor,Actual,26741.66,12877.98,0.0,0.0,12877.98,0.0,0.0,12877.98,221.05,108.75
FIN-000187,20250601,2025-06,3,Material,Actual,36849.44,0.0,27363.39,0.0,27363.39,0.0,0.0,27363.39,0.0,0.0
FIN-000188,20250601,2025-06,3,Other,Actual,19376.49,0.0,0.0,14256.28,14256.28,0.0,0.0,14256.28,0.0,0.0
FIN-000189,20250701,2025-07,3,Labor,Forecast,67793.84,0.0,0.0,0.0,0.0,83650.43,210591.48,210591.48,750.4,0.0
FIN-000190,20250701,2025-07,3,Contractor,Forecast,23453.2,0.0,0.0,0.0,0.0,33244.79,66240.3,66240.3,193.87,0.0
FIN-000191,20250701,2025-07,3,Material,Forecast,31144.15,0.0,0.0,0.0,0.0,43498.56,99112.94,99112.94,0.0,0.0
FIN-000192,20250701,2025-07,3,Other,Forecast,17659.36,0.0,0.0,0.0,0.0,12588.59,48967.47,48967.47,0.0,0.0
FIN-000193,20240601,2024-06,4,Labor,Actual,54919.35,116922.18,0.0,0.0,116922.18,0.0,0.0,116922.18,564.29,1262.75
FIN-000194,20240601,2024-06,4,Contractor,Actual,13444.18,23965.46,0.0,0.0,23965.46,0.0,0.0,23965.46,106.73,201.25
FIN-000195,20240601,2024-06,4,Material,Actual,49105.26,0.0,40770.43,0.0,40770.43,0.0,0.0,40770.43,0.0,0.0
FIN-000196,20240601,2024-06,4,Other,Actual,14657.08,0.0,0.0,10903.06,10903.06,0.0,0.0,10903.06,0.0,0.0
FIN-000197,20240701,2024-07,4,Labor,Actual,58695.12,146314.35,0.0,0.0,146314.35,0.0,0.0,146314.35,603.09,1582.25
