CheckID,Category,CheckName,Status,Severity,ObservedValue,ExpectedRule,AffectedRows,Details
FK-06,Referential Integrity,FactLabor.WeekStartDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-07,Referential Integrity,FactLabor.EmployeeKey resolves to DimEmployee.EmployeeKey,PASS,Error,0,0 orphan foreign keys,0,
FK-08,Referential Integrity,FactLabor.ProjectKey resolves to DimProject.ProjectKey,PASS,Error,0,0 orphan foreign keys,0,
FK-09,Referential Integrity,FactFinancial.MonthStartDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-10,Referential Integrity,FactFinancial.ProjectKey resolves to DimProject.ProjectKey,PASS,Error,0,0 orphan foreign keys,0,
FK-11,Referential Integrity,FactMilestone.ProjectKey resolves to DimProject.ProjectKey,PASS,Error,0,0 orphan foreign keys,0,
FK-12,Referential Integrity,FactMilestone.PlannedDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-13,Referential Integrity,FactMilestone.ForecastDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-14,Referential Integrity,FactMilestone.ActualDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-15,Referential Integrity,FactWorkforcePlan.MonthStartDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-16,Referential Integrity,FactWorkforcePlan.TeamKey resolves to DimTeam.TeamKey,PASS,Error,0,0 orphan foreign keys,0,
FK-17,Referential Integrity,FactWorkforcePlan.SkillKey resolves to DimSkill.SkillKey,PASS,Error,0,0 orphan foreign keys,0,
FK-18,Referential Integrity,FactRiskIssue.ProjectKey resolves to DimProject.ProjectKey,PASS,Error,0,0 orphan foreign keys,0,
FK-19,Referential Integrity,FactRiskIssue.IdentifiedDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-20,Referential Integrity,FactRiskIssue.DueDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
FK-21,Referential Integrity,FactRiskIssue.ClosedDateKey resolves to DimDate.DateKey,PASS,Error,0,0 orphan foreign keys,0,
DQ-01,Intentional Data Quality,Duplicate employee-project-week records,EXPECTED_ANOMALY,Warning,15,Exactly 15 duplicate natural-key extras are intentionally injected,15,A06 controlled defect; physical LaborRecordID remains unique.
DQ-02,Intentional Data Quality,Missing ProjectHours/ActualLaborCost records,EXPECTED_ANOMALY,Warning,12,Exactly 12 incomplete time entries are intentionally injected,12,A06 controlled defect; reject before KPI aggregation.
DQ-03,Time Entry Compliance,Late submission records are present and traceable,EXPECTED_ANOMALY,Warning,297 (3.63%),At least one late submission with SubmissionStatus=Late,297,Late entries support time-entry compliance analysis.
LAB-01,Labor Reconciliation,Project + non-project hours reconcile to available + overtime,PASS,Error,0,0 failures after excluding incomplete/duplicate records,0,
LAB-02,Labor Reconciliation,Actual labor cost recomputes from rate and overtime mix,PASS,Error,0,0 failures within $0.02 row tolerance,0,
FIN-01,Financial Reconciliation,Actual cost equals labor + material + other components,PASS,Error,0,0 row-level component failures,0,
FIN-02,Financial Reconciliation,EAC equals actual cost + forecast to complete,PASS,Error,0,0 row-level EAC failures,0,
FIN-03,Financial Reconciliation,Phased financial budget reconciles to approved project budget,PASS,Error,0,All 25 projects within $0.02,0,
FIN-04,Cross-Table Reconciliation,Clean labor cost reconciles to financial labor by project-month-category,PASS,Error,0,0 differences above $0.05 after dedupe/reject rules,0,
ANOM-01,Business Anomaly,A01 cost overrun is present with cross-table root cause,PASS,Error,"complete=55%; consumed=70.00%; EAC over=$400,000.00","55% complete, 70% consumed, EAC over by $400K, critical delay >30d, overtime >0",0,
ANOM-02,Business Anomaly,A02 QA low utilization is allocation-driven,PASS,Error,68.09%,67.5%–68.5% vs 85% target with non-project capacity,0,
ANOM-03,Business Anomaly,A03 skill mismatch profile is present Jul–Dec 2025,PASS,Error,Software 25/30; Data 12/14; Systems 18/17; Mechanical 22/19,Exact monthly actual/required FTE profile for 4 skills across 6 months,0,
ANOM-04,Business Anomaly,A04 critical schedule delay is linked to dependency and commitment,PASS,Error,"delay=45d; critical dependency=1; committed=$600,230.13","45-day delay, open critical dependency, committed contractor/material cost >0",0,
ANOM-05,Business Anomaly,A05 labor-rate mix variance is present,PASS,Error,hours=101.00% of plan; cost=118.00% of plan,Hours within ±2%; labor cost >115%; contractor and overtime hours >0,0,
ANOM-06,Business Anomaly,A06 time-entry data-quality defects are present,EXPECTED_ANOMALY,Warning,duplicates=15; missing=12; late=297,"15 duplicate extras, 12 incomplete records, late submissions >0",0,
ANOM-07,Business Anomaly,A07 budget-consumption red flag is present,PASS,Error,complete=48%; consumed=68.00%,48% complete and 68% budget consumed,0,
