ExceptionType,LaborRecordID,EmployeeKey,ProjectKey,WeekStartDateKey,Details
LateSubmission,LAB-001961,90,9,20251124,Controlled A06 data-quality evidence
LateSubmission,LAB-001963,92,799,20251124,Controlled A06 data-quality evidence
LateSubmission,LAB-001991,2,752,20251201,Controlled A06 data-quality evidence
LateSubmission,LAB-001996,7,696,20251201,Controlled A06 data-quality evidence
LateSubmission,LAB-002013,24,490,20251201,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-002060,71,316,20251201,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006505,71,316,20251201,Controlled A06 data-quality evidence
LateSubmission,LAB-002118,12,1,20251208,Controlled A06 data-quality evidence
LateSubmission,LAB-002178,72,493,20251208,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-002189,84,28,20251208,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006503,84,28,20251208,Controlled A06 data-quality evidence
LateSubmission,LAB-002199,94,234,20251208,Controlled A06 data-quality evidence
LateSubmission,LAB-002241,18,768,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002255,32,795,20251215,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-002279,56,213,20251215,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006500,56,213,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002289,66,873,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002290,67,78,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002291,68,331,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002296,73,110,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002314,92,213,20251215,Controlled A06 data-quality evidence
LateSubmission,LAB-002441,103,342,20251222,Controlled A06 data-quality evidence
LateSubmission,LAB-002462,5,555,20251229,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-002467,10,356,20251229,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006495,10,356,20251229,Controlled A06 data-quality evidence
LateSubmission,LAB-002564,109,761,20251229,Controlled A06 data-quality evidence
LateSubmission,LAB-002740,49,551,20260112,Controlled A06 data-quality evidence
LateSubmission,LAB-002786,97,940,20260112,Controlled A06 data-quality evidence
LateSubmission,LAB-002852,44,1,20260119,Controlled A06 data-quality evidence
LateSubmission,LAB-002907,101,804,20260119,Controlled A06 data-quality evidence
LateSubmission,LAB-002940,15,426,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-002994,69,21,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-002998,73,323,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-003009,85,111,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-003012,88,268,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-003023,100,234,20260126,Controlled A06 data-quality evidence
LateSubmission,LAB-003056,14,9,20260202,Controlled A06 data-quality evidence
LateSubmission,LAB-003099,57,507,20260202,Controlled A06 data-quality evidence
LateSubmission,LAB-003123,82,476,20260202,Controlled A06 data-quality evidence
LateSubmission,LAB-003147,107,456,20260202,Controlled A06 data-quality evidence
LateSubmission,LAB-003155,115,111,20260202,Controlled A06 data-quality evidence
LateSubmission,LAB-003162,3,827,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003167,8,60,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003189,30,285,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003225,66,335,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003240,82,591,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003269,112,919,20260209,Controlled A06 data-quality evidence
LateSubmission,LAB-003277,1,196,20260216,Controlled A06 data-quality evidence
LateSubmission,LAB-003281,5,9,20260216,Controlled A06 data-quality evidence
LateSubmission,LAB-003310,34,884,20260216,Controlled A06 data-quality evidence
LateSubmission,LAB-003315,39,770,20260216,Controlled A06 data-quality evidence
MissingLaborValue,LAB-003355,79,110,20260216,Controlled A06 data-quality evidence
MissingLaborValue,LAB-003357,82,208,20260216,Controlled A06 data-quality evidence
LateSubmission,LAB-003359,84,292,20260216,Controlled A06 data-quality evidence
LateSubmission,LAB-006402,38,189,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003431,38,290,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003437,44,1,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003439,46,1,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003452,59,472,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003453,60,214,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003497,106,156,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003501,110,290,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-006373,110,956,20260223,Controlled A06 data-quality evidence
LateSubmission,LAB-003602,93,704,20260302,Controlled A06 data-quality evidence
LateSubmission,LAB-003616,108,917,20260302,Controlled A06 data-quality evidence
LateSubmission,LAB-003636,9,947,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003659,32,821,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003679,52,399,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003694,67,783,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003711,85,868,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003722,97,711,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003728,103,182,20260309,Controlled A06 data-quality evidence
LateSubmission,LAB-003768,24,967,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003785,41,660,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003793,49,253,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003821,77,991,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003832,89,317,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003848,106,901,20260316,Controlled A06 data-quality evidence
LateSubmission,LAB-003874,13,47,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003918,57,937,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003922,61,381,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003927,66,767,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003933,72,1,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003942,82,811,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003950,90,861,20260323,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-003978,120,489,20260323,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006498,120,489,20260323,Controlled A06 data-quality evidence
LateSubmission,LAB-003992,14,9,20260330,Controlled A06 data-quality evidence
LateSubmission,LAB-004014,36,740,20260330,Controlled A06 data-quality evidence
LateSubmission,LAB-004066,89,192,20260330,Controlled A06 data-quality evidence
LateSubmission,LAB-004089,113,398,20260330,Controlled A06 data-quality evidence
LateSubmission,LAB-004099,4,384,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004134,39,142,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004139,44,1,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004140,45,1,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004142,47,371,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004144,49,851,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004162,67,892,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004168,73,740,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004202,109,640,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004212,120,992,20260406,Controlled A06 data-quality evidence
LateSubmission,LAB-004222,10,578,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004225,13,137,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-006428,13,680,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004230,18,355,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004233,21,9,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004237,25,9,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004261,49,592,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004310,100,155,20260413,Controlled A06 data-quality evidence
LateSubmission,LAB-004345,16,237,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004372,43,689,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004375,46,1,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004379,50,707,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004405,76,28,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004425,98,9,20260420,Controlled A06 data-quality evidence
LateSubmission,LAB-004460,14,9,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004462,16,454,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004472,26,270,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004485,39,590,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004486,40,306,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004495,49,251,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004509,63,1,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004517,71,627,20260427,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-004550,106,514,20260427,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006506,106,514,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004553,109,689,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004554,110,296,20260427,Controlled A06 data-quality evidence
LateSubmission,LAB-004568,5,9,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004569,6,356,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004595,32,416,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004605,42,1,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004608,45,1,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004620,57,616,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004640,77,332,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004660,99,366,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004664,103,392,20260504,Controlled A06 data-quality evidence
LateSubmission,LAB-004687,7,9,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004732,52,807,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004736,56,798,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004738,58,1,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004742,62,638,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004768,89,446,20260511,Controlled A06 data-quality evidence
LateSubmission,LAB-004805,8,183,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004810,13,729,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004814,17,467,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004837,40,433,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004885,89,798,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004892,97,581,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004899,104,9,20260518,Controlled A06 data-quality evidence
LateSubmission,LAB-004954,40,369,20260525,Controlled A06 data-quality evidence
MissingLaborValue,LAB-004961,47,822,20260525,Controlled A06 data-quality evidence
LateSubmission,LAB-005013,101,126,20260525,Controlled A06 data-quality evidence
LateSubmission,LAB-005016,104,9,20260525,Controlled A06 data-quality evidence
LateSubmission,LAB-005049,18,83,20260601,Controlled A06 data-quality evidence
LateSubmission,LAB-006463,18,90,20260601,Controlled A06 data-quality evidence
LateSubmission,LAB-005065,34,857,20260601,Controlled A06 data-quality evidence
LateSubmission,LAB-005088,57,134,20260601,Controlled A06 data-quality evidence
LateSubmission,LAB-005138,109,372,20260601,Controlled A06 data-quality evidence
LateSubmission,LAB-005216,68,387,20260608,Controlled A06 data-quality evidence
LateSubmission,LAB-005230,83,524,20260608,Controlled A06 data-quality evidence
LateSubmission,LAB-005273,8,474,20260615,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-005327,62,756,20260615,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006508,62,756,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005336,71,454,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005357,93,455,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-006487,97,202,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005360,97,433,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005371,108,813,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005373,110,195,20260615,Controlled A06 data-quality evidence
LateSubmission,LAB-005388,6,286,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005391,9,472,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005395,13,383,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005433,51,192,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005446,64,244,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-006369,64,664,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005456,74,550,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005457,75,950,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005493,113,562,20260622,Controlled A06 data-quality evidence
LateSubmission,LAB-005526,27,911,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005540,41,6,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005549,50,791,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005556,57,378,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005563,64,528,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005595,98,9,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005602,105,9,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005606,109,857,20260629,Controlled A06 data-quality evidence
LateSubmission,LAB-005674,58,1,20260706,Controlled A06 data-quality evidence
LateSubmission,LAB-005685,69,772,20260706,Controlled A06 data-quality evidence
LateSubmission,LAB-005704,89,424,20260706,Controlled A06 data-quality evidence
LateSubmission,LAB-005729,115,876,20260706,Controlled A06 data-quality evidence
LateSubmission,LAB-005754,21,9,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005761,28,9,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005777,44,1,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005790,57,290,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005819,87,733,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005820,88,476,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005834,103,906,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005840,109,72,20260713,Controlled A06 data-quality evidence
LateSubmission,LAB-005862,12,110,20260720,Controlled A06 data-quality evidence
LateSubmission,LAB-005888,38,159,20260720,Controlled A06 data-quality evidence
LateSubmission,LAB-005922,72,1,20260720,Controlled A06 data-quality evidence
LateSubmission,LAB-005941,92,450,20260720,Controlled A06 data-quality evidence
LateSubmission,LAB-005966,119,957,20260720,Controlled A06 data-quality evidence
MissingLaborValue,LAB-005991,24,507,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-005997,30,126,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006001,34,408,20260727,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006017,50,11,20260727,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006504,50,11,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006034,67,226,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006044,77,461,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006068,103,906,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006071,106,817,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006072,107,815,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006073,108,216,20260727,Controlled A06 data-quality evidence
LateSubmission,LAB-006092,8,703,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006097,13,832,20260803,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006099,15,494,20260803,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006501,15,494,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006107,23,931,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006160,76,581,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006165,82,353,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006170,87,379,20260803,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006172,89,140,20260803,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006507,89,140,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006184,102,597,20260803,Controlled A06 data-quality evidence
LateSubmission,LAB-006230,29,750,20260810,Controlled A06 data-quality evidence
LateSubmission,LAB-006253,52,578,20260810,Controlled A06 data-quality evidence
LateSubmission,LAB-006292,92,469,20260810,Controlled A06 data-quality evidence
LateSubmission,LAB-006294,94,668,20260810,Controlled A06 data-quality evidence
LateSubmission,LAB-006304,105,9,20260810,Controlled A06 data-quality evidence
